From,To,Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
PARTNERSHIPS FOR PARKS,FRIENDS OF HERITAGE PARK,,,,,,,,,NYC,,,,,,,,,,,,,,20320,4878,,,,1,,,
SEEDBALL,PS M 243- CENTER SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,104944,106905,,,,1,,,
NY LEAGUE OF CONSERVATION VOTERS,TRUST FOR PUBLIC LAND,,,,,,,,,NYC,,,,,,,,,,,,,,1541,4550,,,,1,,,
PARTNERSHIPS FOR PARKS,ISLAND VOICE,,,,,,,,,NYC,,,,,,,,,,,,,,8642,4878,,,,1,,,
NYLAUGHS,LOWER MANHATTAN CULTURAL COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,101119,105698,,,,1,,,
CORNELL COOPERATIVE EXTENSION- ULSTER COUNTY,NYC DEP,,,,,,,,,region,,,,,,,,,,,,,,4642,146036893,,,,1,,,
GOWANUS CANAL CONSERVANCY,PS BK 51,,,,,,,,,NYC,,,,,,,,,,,,,,7017,100831,,,,1,,,
WEST 80S NEIGHBORHOOD ASSOC,LOWES,,,,,,,,,NYC,,,,,,,,,,,,,,20496,102069,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,FEMA,,,,,,,,,NYC,,,,,,,,,,,,,,20280,100500,,,,1,,,
JEWISH COMMUNITY CENTER OF SI,SI EDC,,,,,,,,,NYC,,,,,,,,,,,,,,5425,101819,,,,1,,,
NEIGHBORS ALLIED FOR GOOD GROWTH,ST. NICKS ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,101798,101258,,,,1,,,
FRIENDS OF THE HIGH LINE,NYC DSNY,,,,,,,,,NYC,,,,,,,,,,,,,,7220,1208,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF BROWER PARK,,,,,,,,,NYC,,,,,,,,,,,,,,100741,4878,,,,1,,,
NY TREE TRUST,EAGLE ST ROOFTOP FARM,,,,,,,,,NYC,,,,,,,,,,,,,,20251,1357,,,,1,,,
SI CHAMBER OF COMMERCE FOUNDATION,NYC CITY COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,1353,101814,,,,1,,,
CHILDRENS GARDEN AT CAMPOS,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,103108,,,,1,,,
NORWALK RIVER WATERSHED ASSOCIATION,WILTON GARDEN CLUB,,,,,,,,,region,,,,,,,,,,,,,,21029,61483326,,,,1,,,
SWIM COALITION,NEWTOWN CREEK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1363,101675,,,,1,,,
FRIENDS OF THE EAST SPRINGFIELD PLAYGROUND,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,103985,,,,1,,,
GOWANUS CANAL CONSERVANCY,WE DESIGN,,,,,,,,,NYC,,,,,,,,,,,,,,21016,100831,,,,1,,,
WATERFRONT ALLIANCE,CENTER FOR SCIENCE TEACHING AND LEARNING,,,,,,,,,NYC,,,,,,,,,,,,,,20160,2037,,,,1,,,
EARTH MATTER,TRUST FOR GOVERNORS ISLAND,,,,,,,,,NYC,,,,,,,,,,,,,,101916,100580,,,,1,,,
PARTNERSHIPS FOR PARKS,MASONS IN THE PARK,,,,,,,,,NYC,,,,,,,,,,,,,,20517,4878,,,,1,,,
BROOKLYN QUEENS LAND TRUST,NATIONAL GARDENING ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,20561,1075,,,,1,,,
BK AYSO 473,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,102562,,,,1,,,
CT GROUNDS KEEPERS ASSN,STATE OF CT,,,,,,,,,region,,,,,,,,,,,,,,20885,222520072,,,,1,,,
EPA- NYNJ HARBOR ESTUARY PROGRAM,PROTECTORS OF PINE OAKS,,,,,,,,,NYC,,,,,,,,,,,,,,1422,1375,,,,1,,,
PARTNERSHIPS FOR PARKS,MARION ST PARK BLOCK ASSN,,,,,,,,,NYC,,,,,,,,,,,,,,101157,4878,,,,1,,,
JACKSON HEIGHTS GREEN ALLIANCE,NEIGHBORHOOD PLAZA PARTNERSHIP,,,,,,,,,NYC,,,,,,,,,,,,,,107489,101017,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,NYC CITY COUNCIL- MARK TREYGER,,,,,,,,,NYC,,,,,,,,,,,,,,20630,100500,,,,1,,,
FABSCRAP,NYC DSNY,,,,,,,,,NYC,,,,,,,,,,,,,,7220,813795981,,,,1,,,
EDISON GREENWAYS GROUP,MIDDLESEX COUNTY PARKS AND RECREATION,,,,,,,,,region,,,,,,,,,,,,,,20527,223207882,,,,1,,,
WOODHAVEN CULTURAL AND HISTORICAL SOCIETY,AMERICAN LEGION,,,,,,,,,NYC,,,,,,,,,,,,,,20031,1580,,,,1,,,
BK APPLE GARDEN GROUP,LINCOLN TERRACE PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,107443,100318,,,,1,,,
WARREN ST MARKS COMMUNITY GARDEN,FORTH ON FOURTH,,,,,,,,,NYC,,,,,,,,,,,,,,100716,5772,,,,1,,,
FRIENDS OF ABANDONED CEMETERIES,NYS DOS,,,,,,,,,NYC,,,,,,,,,,,,,,7241,104349,,,,1,,,
EPA- NYNJ HARBOR ESTUARY PROGRAM,NJ HARBOR DISCHARGERS GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,20586,1375,,,,1,,,
GREEN CITY FORCE,HARLEM GROWN,,,,,,,,,NYC,,,,,,,,,,,,,,100901,100855,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,LOCAL OFFICE LANDSCAPE ARCHITECTURE,,,,,,,,,NYC,,,,,,,,,,,,,,20489,1457,,,,1,,,
PS BX 154 JONATHAN D HYATT SCHOOL GARDEN,SLOW FOOD NYC,,,,,,,,,NYC,,,,,,,,,,,,,,101737,105963,,,,1,,,
CITY PARKS FOUNDATION,TREES NY,,,,,,,,,NYC,,,,,,,,,,,,,,1536,7765,,,,1,,,
AMERICAN SOCIETY OF LANDSCAPE ARCHITECTS- NY,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,102518,,,,1,,,
PARTNERSHIPS FOR PARKS,NARROWS BOTANICAL GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1336,4878,,,,1,,,
KIDDIE SCIENCE,YOUTH FARM,,,,,,,,,NYC,,,,,,,,,,,,,,102133,104716,,,,1,,,
ELIZABETH STREET GARDEN,M CB2,,,,,,,,,NYC,,,,,,,,,,,,,,2954,100750,,,,1,,,
PARTNERSHIPS FOR PARKS,MARINERS MARSH CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,4277,4878,,,,1,,,
URBAN RESOURCES INITIATIVE,SALTONSTALL AND LLOYD,,,,,,,,,region,,,,,,,,,,,,,,20840,61343983,,,,1,,,
PARTNERSHIPS FOR PARKS,PROJECTIVITY,,,,,,,,,NYC,,,,,,,,,,,,,,101562,4878,,,,1,,,
NY OPEN WATER,LAUNCH 5,,,,,,,,,NYC,,,,,,,,,,,,,,20472,20601,,,,1,,,
MADISON AVENUE BID,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,4224,,,,1,,,
WEST 80S NEIGHBORHOOD ASSOC,IRVING FARM COFFEE ROASTERS,,,,,,,,,NYC,,,,,,,,,,,,,,20431,102069,,,,1,,,
NEWTOWN CREEK ALLIANCE,RIVERKEEPER,,,,,,,,,NYC,,,,,,,,,,,,,,1450,1363,,,,1,,,
EARTH DAY INITIATIVE,FORMULA E,,,,,,,,,NYC,,,,,,,,,,,,,,20289,1137,,,,1,,,
MCINTOSH NEIGHBORHOOD ASSOC GARDEN,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,4293,,,,1,,,
YOUTH FARM,FARM SCHOOL NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100668,102133,,,,1,,,
FRIENDS OF HIGH ROCK PARK,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1197,,,,1,,,
PARTNERSHIPS FOR PARKS,VIPA,,,,,,,,,NYC,,,,,,,,,,,,,,107816,4878,,,,1,,,
SI OUTLOUD,CLAY PIT PONDS STATE PARK,,,,,,,,,NYC,,,,,,,,,,,,,,2893,1504,,,,1,,,
PARTNERSHIPS FOR PARKS,COASTAL PRESERVATION NETWORK,,,,,,,,,NYC,,,,,,,,,,,,,,1102,4878,,,,1,,,
LOWER RARITAN WATERSHED PARTNERSHIP,EDISON EC,,,,,,,,,NYC,,,,,,,,,,,,,,20262,104920,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF FIRST RUN,,,,,,,,,NYC,,,,,,,,,,,,,,20316,4878,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,NYC EMERGENCY MANAGEMENT,,,,,,,,,NYC,,,,,,,,,,,,,,4652,100500,,,,1,,,
PARTNERSHIPS FOR PARKS,PS Q 263,,,,,,,,,NYC,,,,,,,,,,,,,,20767,4878,,,,1,,,
MFINDA KALUNGA GARDEN,LOWER EAST SIDE ECOLOGY CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1313,1327,,,,1,,,
PARKSIDE PLAZA COMMITTEE,NYC CITY COUNCIL- MATHIEU EUGENE,,,,,,,,,NYC,,,,,,,,,,,,,,20631,101504,,,,1,,,
GREATER NEW YORK COUNCILS BOY SCOUTS OF AMERICA- CUB SCOUT PACK 255,COLUMBIA,,,,,,,,,NYC,,,,,,,,,,,,,,2931,1124,,,,1,,,
BCEQ,BX CB8,,,,,,,,,NYC,,,,,,,,,,,,,,2659,1061,,,,1,,,
596 ACRES,CUNY - BK COLLEGE,,,,,,,,,NYC,,,,,,,,,,,,,,7270,100086,,,,1,,,
NATURALLY OCCURRING CULTURAL DISTRICTS NY,NYC OFFICE OF MAYOR- CRIMINAL JUSTICE,,,,,,,,,NYC,,,,,,,,,,,,,,20656,101313,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF HILLSIDE DOG PARK,,,,,,,,,NYC,,,,,,,,,,,,,,3469,4878,,,,1,,,
GREEN CITY FORCE,LOWER EAST SIDE ECOLOGY CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1313,100855,,,,1,,,
BAYSHORE REGIONAL WATERSHED COUNCIL,CLEAN OCEAN ACTION,,,,,,,,,NYC,,,,,,,,,,,,,,1096,2005,,,,1,,,
NATURALLY OCCURRING CULTURAL DISTRICTS NY,THE POINT,,,,,,,,,NYC,,,,,,,,,,,,,,5551,101313,,,,1,,,
PARTNERSHIPS FOR PARKS,PAN-AFRICAN CDI,,,,,,,,,NYC,,,,,,,,,,,,,,106236,4878,,,,1,,,
SWIM STRONG FOUNDATION,RESORTS WORLD,,,,,,,,,NYC,,,,,,,,,,,,,,20806,107278,,,,1,,,
GARDENERS OF HOOPER STREET PARK,596 ACRES,,,,,,,,,NYC,,,,,,,,,,,,,,100086,100952,,,,1,,,
JAMAICA BAY ECOWATCHERS,ACOE,,,,,,,,,NYC,,,,,,,,,,,,,,7693,1285,,,,1,,,
PARTNERSHIPS FOR PARKS,PS BK 540- JOHN DEWEY HS,,,,,,,,,NYC,,,,,,,,,,,,,,104657,4878,,,,1,,,
MASTERS OF SUCCESSION COLLECTIVE,TOW ROW CAMP,,,,,,,,,NYC,,,,,,,,,,,,,,20923,101162,,,,1,,,
WEST 88TH ST TREE PROJECT,PARTNERSHIPS FOR PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4878,5821,,,,1,,,
PARTNERSHIPS FOR PARKS,BK APPLE GARDEN GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,100318,4878,,,,1,,,
URBAN RESOURCES INITIATIVE,CITY OF NEW HAVEN,,,,,,,,,region,,,,,,,,,,,,,,20189,61343983,,,,1,,,
GOWANUS CANAL CONSERVANCY,MS BK 88,,,,,,,,,NYC,,,,,,,,,,,,,,107924,100831,,,,1,,,
BX RIVER ALLIANCE,BIKE NY,,,,,,,,,NYC,,,,,,,,,,,,,,100249,1063,,,,1,,,
WILDLANDS CONSERVANCY,PA DCNR,,,,,,,,,,,,,,,,,,,,,,,31051,31004,,,,2,,,
EAST MIDTOWN PARTNERSHIP,M CB8,,,,,,,,,NYC,,,,,,,,,,,,,,105006,3201/1149,,,,1,,,
WATERFRONT ALLIANCE,CENTRAL NY KAYAKERS,,,,,,,,,NYC,,,,,,,,,,,,,,20162,2037,,,,1,,,
LA PLAZA CULTURAL ARMANDO PEREZ,NYC COMMUNITY GARDEN COALITION,,,,,,,,,NYC,,,,,,,,,,,,,,1377,1300,,,,1,,,
PARTNERSHIPS FOR PARKS,GARDEN COURT GARDENERS,,,,,,,,,NYC,,,,,,,,,,,,,,5518,4878,,,,1,,,
IDIG2LEARN,CARTER BURDEN ROOSEVELT ISLAND SENIOR CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,20149,104467,,,,1,,,
LONG ISLAND CITY ROOTS,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1310,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,ROCKAWAY BEACH CIVIC ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,101650,1457,,,,1,,,
ALLEY POND ENVIRONMENTAL CENTER,NYC DOE,,,,,,,,,NYC,,,,,,,,,,,,,,4645,1022,,,,1,,,
WYCKOFF BOND GARDEN,BK BOTANIC GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1067,1584,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,NYCHA,,,,,,,,,NYC,,,,,,,,,,,,,,4650,1313,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF THE WOODS,,,,,,,,,NYC,,,,,,,,,,,,,,20347,4878,,,,1,,,
EMPIRE CLEAN CITIES,PORT AUTHORITY,,,,,,,,,NYC,,,,,,,,,,,,,,4957,103693,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,EL SOL BRILLANTE,,,,,,,,,NYC,,,,,,,,,,,,,,3260,1313,,,,1,,,
IDIG2LEARN,ROOSEVELT ISLAND YOUTH PROGRAM,,,,,,,,,NYC,,,,,,,,,,,,,,133077348,104467,,,,1,,,
SMILING HOGSHEAD RANCH,NEWTOWN CREEK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1363,101739,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF AMERSFORT PARK,,,,,,,,,NYC,,,,,,,,,,,,,,100735,4878,,,,1,,,
GOWANUS DREDGERS CANOE,GOWANUS INDUSTRIAL PARK,,,,,,,,,NYC,,,,,,,,,,,,,,20369,1229,,,,1,,,
REBUILDING TOGETHER NYC,NA,,,,,,,,,NYC,,,,,,,,,,,,,,20557,101606,,,,1,,,
"FOURTH ARTS BLOCK, INC",GOOD OLD LOWER EAST SIDE,,,,,,,,,,,,,,,,,,,,,,,3617,31038,,,,2,,,
IDIG2LEARN,ROOSEVELT ISLAND GARDEN CLUB,,,,,,,,,NYC,,,,,,,,,,,,,,1460,104467,,,,1,,,
FRIENDS OF THE BONSAL PRESERVE,MONTCLAIR STATE UNIVERSITY,,,,,,,,,region,,,,,,,,,,,,,,20547,20342,,,,1,,,
HUDSON RIVER COMMUNITY SAILING,NY HARBOR SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,101971,100967,,,,1,,,
596 ACRES,GROW NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100882,100086,,,,1,,,
GRAHAM AVENUE BID,NYC DOT,,,,,,,,,NYC,,,,,,,,,,,,,,4528,104137,,,,1,,,
WATERFRONT ALLIANCE,UNITED NEIGHBORHOOD HOUSES,,,,,,,,,NYC,,,,,,,,,,,,,,5675,2037,,,,1,,,
PS 48 SOUTH BX SCHOOLYARD GARDEN AND OUTDOOR CLASSROOM,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,107018,,,,1,,,
WATERFRONT ALLIANCE,BIOBOAT,,,,,,,,,NYC,,,,,,,,,,,,,,102697,2037,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF JJ WALKER PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,20327,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,MARCUS GARVEY PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1320,4878,,,,1,,,
NATURAL AREAS CONSERVANCY,NATURE CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,5540,101232,,,,1,,,
GREATER NEW YORK COUNCILS BOY SCOUTS OF AMERICA- CUB SCOUT PACK 255,AMERICAN LITTORAL SOCIETY,,,,,,,,,NYC,,,,,,,,,,,,,,2003,1124,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF TEN EYCK PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,20341,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,MARINE PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,101155,4878,,,,1,,,
WILDLANDS CONSERVANCY,OPEN SPACE INSTITUTE,,,,,,,,,,,,,,,,,,,,,,,4697,31004,,,,2,,,
BAYSHORE REGIONAL WATERSHED COUNCIL,MARINE ACADEMY OF SCIENCE AND TECH,,,,,,,,,NYC,,,,,,,,,,,,,,20513,2005,,,,1,,,
AYRES-KNUTH FARM FOUNDATION,NJ DOT,,,,,,,,,region,,,,,,,,,,,,,,20584,223602451,,,,1,,,
NYC PARKS,NYCBEEKEEPING.ORG,,,,,,,,,NYC,,,,,,,,,,,,,,105501,4655,,,,1,,,
FRIENDS OF SHERMAN CREEK CONSERVANCY,NY HARBOR SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,101971,100763,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF EAST SPRINGFIELD PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,20310,4878,,,,1,,,
SOLAR ONE,BOY SCOUTS OF AMERICA,,,,,,,,,NYC,,,,,,,,,,,,,,2526,2063,,,,1,,,
FRIENDS OF CUNNINGHAM PARK,CLIMB,,,,,,,,,NYC,,,,,,,,,,,,,,1115,1189,,,,1,,,
GREATER NEW YORK COUNCILS BOY SCOUTS OF AMERICA- CUB SCOUT PACK 255,NYC DEP,,,,,,,,,NYC,,,,,,,,,,,,,,4642,1124,,,,1,,,
WATERFRONT ALLIANCE,CHELSEA SCULPTURE PARK,,,,,,,,,NYC,,,,,,,,,,,,,,103088,2037,,,,1,,,
MASTERS OF SUCCESSION COLLECTIVE,TIMES UP,,,,,,,,,NYC,,,,,,,,,,,,,,1532,101162,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,NYNJ HARBOR ESTUARY PROGRAM,,,,,,,,,NYC,,,,,,,,,,,,,,1375,100500,,,,1,,,
PARTNERSHIPS FOR PARKS,LIC BOATHOUSE,,,,,,,,,NYC,,,,,,,,,,,,,,1307,4878,,,,1,,,
RIVER GARDEN,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,5164,,,,1,,,
LONG ISLAND FARM BUREAU,NY LEAGUE OF CONSERVATION VOTERS,,,,,,,,,region,,,,,,,,,,,,,,4550,463436790,,,,1,,,
MAKE THE ROAD NY,MAYDAY SPACE,,,,,,,,,NYC,,,,,,,,,,,,,,20518,101137,,,,1,,,
PS BK 262- SCHOOL GARDEN,GREEN GUERILLAS,,,,,,,,,NYC,,,,,,,,,,,,,,1236,106029,,,,1,,,
