Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
FORDHAM,,,,We support students with scholarships and grants. We support alumna with networking programs,Education,Yes,We encourage strong bonds among the alums of Fordham college at Rose Hill (Bronx).  Our Scholarship process is one way we support the administration's commitment to the jewsuit values of academic excellence and the education of the whole person.,,Bronx,N/A,Fordham College Alumni Association,n/a,NY,441 East Fordham Road,n/a,1,501(c)(3) (or has applied),http://fordhamcollegealumni.org,10458-5149,0,3376,,,Civic,,EDUCATE,1,1905,2,2
CYPRESS HILLS LDC,,,,,,,,,,,,,,,,,,,,,3073,,,Civic,,,,,1,1
KIPS BAY NEIGHBORHOOD ALLIANCE,,,,"In Manhattan from 23rd to 41st Street from 2nd Avenue to the East River

With a focus along the East River Waterfront from 36th to 41st Street and tree beds along the bike paths throughout our area.",,Yes,,,New York,kbna.info@gmail.com,Kips Bay Neighborhood Alliance,646-283-3462,NY,"245 East 35th Street, #7C",kbna.tumblr.com,1,501(c)(3) (or has applied),https://www.facebook.com/kbna.nyc/,10016,,101055,,,Civic,,MANAGE,1,,2,2
IVY NARROW BIRD SANCTUARY,,,,,,,,,,,,,,,,,,,,,20436,,,Civic,,,,,1,1
BRAUSE REAL ESTATE,,,,,,,,,,,,,,,,,,,,,20121,,,Civic,,,,,1,1
RIVERSIDE OVAL ASSN,,,,"At the base of 156th St which dead ends into Riverside Dr. 
Southern end is block btwn 155 & 156
N end is close to 157
Oval sits as island between 2 sides of Riverside Dr.",Environment,Yes,To green our neighborhood and to foster a sense of community in the block surrounding riverside oval.,,New York,vducat@gmail.com,Riverside Oval Association,917-301-1120,NY,"790 Riverside Dr., Apt 12A",,3,Group without 501(c)(3) or 501(c)(4) status,http://facebook.com/riversideoval,10032,60-79%,5172,,,Civic,Community Garden,MANAGE,1,1980,1,1
ARMAND LEGARDEUR ARCHITECT,,,,,,,,,,,,,,,,,,,,,102480,,,Civic,,,,,1,1
NATURE PROGRAM COOPERATIVE,,,,,,,,,,,,,,,,,,,,,20568,,,Civic,,,,,2,2
LOCAL OFFICE LANDSCAPE ARCHITECTURE,,,,,,,,,,,,,,,,,,,,,20489,,,Business,,,,,1,1
AMERICAN INSTITUTE OF ARCHITECTS- Q,,,,,,,,,,,,,,,,,,,,,20030,,,Civic,,,,,1,1
PROJECT HARMONY,,,,"Central Harlem primarily 219 W. 122nd St. 
All Harlem gardens",,Yes,,,New York,projectharmonynycs@aol.com,"Project Harmony, Inc.",212-662-2878,NY,216 W. 122nd St.,,1,501(c)(3) (or has applied),http://projectharmonynyc.org,10027,80-100%,1416,,,Civic,Community Garden,MANAGE,1,1985,2,2
FOREST AVE BID,,,,,,,,,,,,,,,,,,,,,100710,,,Civic,,,,,1,1
BIKE HOBOKEN,,,,,,,,,,,,,,,,,,,,,20087,,,Civic,,,,,1,1
METLIFE,,,,,,,,,,,,,,,,,,,,,20523,,,Business,,,,,1,1
FRIENDS OF WICKERS CREEK ARCHAEOLOGICAL SITE,,,,"Primarily in Dobbs Ferry, Westchester County, though we network throughout the metro area, particularly regarding Native American sites.",Environment,Yes,We aim to protect the Wickers Creek Archaeological site and access to it.,,Nyack,,Friends of Wickers Creek Archaeological Site Inc (FOWCAS),845-729-7715,NY,45 Washington Street Nyack NY 10960,,1,501(c)(3) (or has applied),,10960,80-100%,133833984,,,Civic,Stream / River / Canal,ADVOCATE,1,,0,0
MAKING WAVES,,,,,,,,,,,,,,,,,,,,,20504,,,Civic,,,,,1,1
MFINDA KALUNGA GARDEN,,,,On the block bounded by Delancey St and Rivington St. (N and S) and Forsyth St. and Chrystie St.,Community improvement and capacity building,Yes,To protect and improve the community for the people who live and work here,,New York,mkgarden@googlegroups.co,M'finda Kalunga Garden,,NY,30 Delancey Street,,3,Group without 501(c)(3) or 501(c)(4) status,http://mkgarden.org/,10002,80-100%,1327,,,Civic,Community Garden,MANAGE,1,1982,1,1
LAFAYETTE AVENUE PRESBYTERIAN CHURCH,,,,,,,,,,,,,,,,,,,,,31057,,,Civic,,,,,1,1
BALDWIN LEARNING CENTER COALITION,,,,"Meg's Garden and Edible Forest at north end of DeWitt Clinton High School Campus near the intersection of Goulden Ave., Sedgewick Ave, Mosholu Parkway South",Education,Yes,Our mission is to solve problems at the juncture of environmental and social justice through community engagement and to share food.,,Bronx,raypultinas@gmail.com,Baldwin Learning Center (BLC) Coalition,917-755-355,NY,"DeWitt Clinton High School, 100 West Mosholu Parkway",,3,Group without 501(c)(3) or 501(c)(4) status,http://wittseminar.blogspot.com,10468,60-79%,20066,,,Civic,Community Garden,EDUCATE,1,2014,0,0
LAUNCH 5,,,,,,,,,,,,,,,,,,,,,20472,,,Civic,,,,,1,1
SI ARTS,,,,,,,,,,,,,,,,,,,,,101813,,,Civic,,,,,4,4
UNITED WAY,,,,,,,,,,,,,,,,,,,,,8828,,,Civic,,,,,3,3
TISHMAN ENVIRONMENT AND DESIGN CENTER,,,,The Union Square Neighborhood Between University and 8th avenue from 11th street to 20th street,Education,Yes,"The Tishman Environment and Design Center at The New School fosters the integration of bold design, policy, and social justice approaches to environmental issues to advance just and sustainable outcomes in collaboration with communities.",,New York,tedc@newschool.edu,Tishman Environment and Design Center,,NY,79 5th Avenue,@NewSchoolTEDC,4,School-affiliated group,http://tishmancenter.org,10003,60-79%,101932,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",EDUCATE,1,2005,0,0
JACKSON HEIGHTS GREEN ALLIANCE,,,,"QUEENS
78th Street between Northern Boulevard and 34th Avenue
37th Road between 74th street and Broadway",Other,Yes,"The Jackson Heights Green Alliance (JHGA) is a 501(c)(3) community-based organization that advocates for increased open space in Jackson Heights, New York.",,Jackson Heights,info@jhgreen.org,Jackson Heights Green Alliance,646-450-8444,NY,P.O. Box 720579,@JHGreenAlliance,1,501(c)(3) (or has applied),http://jhgreen.org,11372,60-79%,101017,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",TRANSFORM,1,2007,0,0
GREENE AVE BLOCK,,,,On Greene Ave btw Beford and Franklin Ave,Environment,Yes,"Improve the quality of life on the block for everyone. Rodent eradication, block beautification and education, community events/block party etc.",,,,Greene Ave Block Association,,,,,3,Group without 501(c)(3) or 501(c)(4) status,,,20-39%,3660,,,Civic,Street tree,MANAGE,1,,0,0
NBTY,,,,,,,,,,,,,,,,,,,,,20569,,,Business,,,,,1,1
HUNTERDON LAND TRUST ALLIANCE,,,,,,,,,,,,,,,,,,,,,2032,,,Civic,,,,,2,2
HUNTER COLLEGE HS,,,,,,,,,,,,,,,,,,,,,20419,,,School,,,,,2,2
BARRETTO BAY STRATEGIES,,,,,,,,,,,,,,,,,,,,,20070,,,Civic,,,,,1,1
NYC FOOD POLICY,,,,,,,,,,,,,,,,,,,,,3876,,,School,,,,,1,1
RICHMOND HILL BLOCK,,,,,,,,,,,,,,,,,,,,,5151,,,Civic,,,,,1,1
WHEDCO,,,,,,,,,,,,,,,,,,,,,5884,,,Civic,,,,,1,1
IOBY,,,,,,,,,,,,,,,,,,,,,104483,,,Civic,,,,,4,4
M CB9,,,,,,,,,,,,,,,,,,,,,105007,,,Civic,,,,,2,2
BK TECH HS,,,,,,,,,,,,,,,,,,,,,102838,,,School,,,,,1,1
CHELSEA YACHT CLUB,,,,,,,,,,,,,,,,,,,,,103091,,,Civic,,,,,1,1
TOWN OF SHANDAKEN,,,,,,,,,,,,,,,,,,,,,20945,,,Government,,,,,1,1
WASHINGTON AVE,,,,,,,,,,,,,,,,,,,,,21009,,,Civic,,,,,1,1
US VETERANS ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,20981,,,Government,,,,,1,1
NYC PARKS,,,,"Garden Kitchen Lab has been working for the past three years from the St. John's Recreation Center in Crown Heights, Brooklyn. In 2017 we have expanded to Sunset Park Recreation Center, Red Hook Recreation Center and the McCarren Playground Center.",Education,Yes,The Garden Kitchen Lab is a backyard-to-table educational program for underserved communities. Our mission is to give youth and their families access to healthy and locally grown food through starting and sustaining food-producing gardens. This hands-on,,Brooklyn,crc@parks.nyc.gov,NYC Parks Computer Resource Centers,646-468-6644,NY,1251 Prospect Place,,7,City/local government,http://gardenkitchenlab.wordpress.com/,11213,40-59%,4655,,,Civic,Urban Farm,EDUCATE,1,2014,189,189
HANNAH GRAY HOME,,,,,,,,,,,,,,,,,,,,,20388,,,Civic,,,,,1,1
SOLAR COOKERS INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,31071,,,Civic,,,,,1,1
KIDS KEEP IT UP,,,,,,,,,,,,,,,,,,,,,20459,,,Civic,,,,,1,1
GRANTMAKERS,,,,,,,,,,,,,,,,,,,,,20375,,,Civic,,,,,1,1
BAYSIDE HILLS CIVIC ASSN,,,,,,,,,,,,,,,,,,,,,7760,,,Civic,,,,,1,1
DUCKETT OAKLAND LAKE MEADOW GROUP,,,,Across Cloverdale Boulevard from the entrance to Oakland Lake in Bayside Queens in the meadow. It is called Oakland Lake Wildflower Meadow. There is a sign along Cloverdale Boulevard.,Environment,Yes,To restore a wildflower meadow to promote habitat for insects and birds.,,Eastchester,,Duckett Oakland Lake Meadow Group,,NY,11 Field End Lane,,4,School-affiliated group,,10709,80-100%,20246,,,Civic,Other,CONSERVE,1,2010,0,0
T.O.P. SOCCER,,,,,,,,,,,,,,,,,,,,,20907,,,Civic,,,,,1,1
SCENIC HUDSON,,,,,,,,,,,,,,,,,,,,,5245,,,Civic,,,,,2,2
BODIES OF WATER SOCIETY,,,,,,,,,,,,,,,,,,,,,20107,,,Civic,,,,,1,1
WASHINGTON AVENUE-PROSPECT HEIGHTS ASSOCIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
FRIENDS OF LUTHER GULICK PARK,,,,,,,,,,,,,,,,,,,,,20332,,,Civic,,,,,1,1
WESTERLEIGH COALITION,,,,On Victory Blvd. between Maor Rd and Willowbrook Rd. On Forest Ave. between Manor Rd and Willowbrook Rd.,Community improvement and capacity building,Yes,,,Staten Island,wis-si@yahoo.com,Westerleigh Improvement Society,718-981-2124,NY,P.O. Box 140-043,,2,501(c)(4) (or has applied),http://wisonline.org,10314,,1574,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",None of the above,1,,1,1
ROY WILKINS PICKLEBALL CLUB,,,,"The Concerned Seniors of Roy Wilkins park is concerned with the repair and improvement of the recreational center at Roy Wilkins park.

The Roy Wilkins park Pickleball club has introduced Pickleball to the southern Queens community.",Other,Yes,,,Jamaica,,Concerned Seniors of Roy Wilkins Park/ Roy Wilkins Park Pickleball club,,NY,,,7,City/local government,,11412,0,106802,,,Civic,None of the above,ADVOCATE,1,2016,1,1
COMMIT TO GREEN,,,,,,,,,,,,,,,,,,,,,20203,,,Civic,,,,,1,1
SOCIETY FOR CLUTCH HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
BIOHABITATS,,,,,,,,,,,,,,,,,,,,,100253,,,Civic,,,,,1,1
TOWN OF CORTLANDT,,,,,,,,,,,,,,,,,,,,,20926,,,Government,,,,,1,1
NYC CITY COUNCIL- DANEEK MILLER,,,,,,,,,,,,,,,,,,,,,20618,,,Government,,,,,1,1
MAKE MUSIC NY,,,,,,,,,,,,,,,,,,,,,20503,,,Civic,,,,,2,2
TOW ROW CAMP,,,,,,,,,,,,,,,,,,,,,20923,,,Business,,,,,1,1
NEWTOWN HISTORICAL SOCIETY,,,,"Advocating for the creation of a community garden at Willoughby and Onderdonk Avenues
Preservation of the Brinckerhoff Cemetery in Fresh Meadows
Preservation of the Ridgewood Reservoir on the Brooklyn-Queens border
Creation of a green historical reconstr",Education,Yes,"The Newtown Historical Society was founded to educate the public about the history of the villages that comprised Newtown Township in Queens County, NY.  Newtown Township stretched from the East River to the Flushing River.  Towns covered include: Maspet",,Ridgewood,newtownhistory@gmail.com,Newtown Historical Society,718-366-3715,NY,1883 Stockholm Street,@newtownhistory,1,501(c)(3) (or has applied),http://newtownhistorical.org,11385,20-39%,105425,,,Civic,,PARTICIPATE/PARTNER/SUPPORT,1,2007,1,1
YANTACAW BROOK PARK CONSERVANCY,,,,"Yantacaw Brook Park, Montclair, NJ 07043",Environment,Yes,"Yantacaw Brook Park Conservancy is dedicated to the maintenance and improvement of Yantacaw Brook Park located in the Township of Montclair, Essex County, New Jersey.",,Montclair,info@YantacawBrookParkConservancy.org,Yantacaw Brook Park Conservancy,None,NJ,P.O. Box 43382,,1,501(c)(3) (or has applied),http://YantacawBrookParkConservancy.org,7043,80-100%,453542465,,,Civic,Park,CONSERVE,1,2011,0,0
FRIENDS OF FARMINGTON CANAL,,,,,,,,,,,,,,,,,,,,,20314,,,Civic,,,,,1,1
JAMAICA PERFORMING ARTS CENTER,,,,,,,,,,,,,,,,,,,,,20441,,,Civic,,,,,1,1
NY SURF SCHOOL,,,,,,,,,,,,,,,,,,,,,20608,,,Civic,,,,,1,1
TEENS FOR FOOD JUSTICE,,,,We have built a hydroponic farm inside P.S. 56 at Gates & Irving in Bedstuy.,Food,Yes,"We seek to educate youth about the topics of food security, food justice, and food advocacy. We accomplish this by leading students in building, operating, and maintaining a high capacity vertical hydroponic farms, using these farms as a platform to educ",,New York,,Teens for Food Justice,,NY,33 w 60th st suite 1138,@tffjinitiative,1,501(c)(3) (or has applied),http://teensforfoodjustice.org/,10023,40-59%,107318,,,Civic,Urban Farm,EDUCATE,1,2012,1,1
GREENWORKS TEAM,,,,,,,,,,,,,,,,,,,,,101884,,,Civic,,,,,1,1
AMERICAN RHODODENDRON SOCIETY- PRINCETON,,,,,,,,,,,,,,,,,,,,,232492962,,,Civic,,,,,0,0
MUSEUM OF CHINESE IN AMERICA,,,,,,,,,,,,,,,,,,,,,105219,,,Civic,,,,,1,1
LIC BOATHOUSE,,,,,,,,,,,,,,,,,,,,,1307,,,Civic,,,,,3,3
WILDLIFE IN CRISIS,,,,,,,,,,,,,,,,,,,,,21026,,,Civic,,,,,1,1
BETTER JAMAICA,,,,,,,,,,,,,,,,,,,,,102262,,,Civic,,,,,2,2
NYC FOOD POLICY CTR - CUNY - HUNTER,,,,"Our organization primarily educates through events in our offices at the Silberman School of Social Work, Hunter College at 2180 3rd Ave, New York, NY 10035
We also do educational outreach on food and nutrition (and its impact on the environment) at PS 7",Food,Yes,"The New York City Food Policy Center at Hunter College develops intersectoral, innovative and evidence-based solutions to preventing diet-related diseases and promoting food security in New York and other cities.  The Center works with policy makers, com",,New York,info@nycfoodpolicy.org,New York City Food Policy Center at Hunter College,212-396-7744,NY,2180 3rd Ave,NYCfoodpolicy,1,501(c)(3) (or has applied),http://nycfoodpolicy.org,10035,1-19%,104413,,,Civic,Other,EDUCATE,1,2013,0,0
BLOCK ASSOCIATIONS,,,,,,,,,,,,,,,,,,,,,20103,,,Civic,,,,,1,1
TAQWA COMMUNITY FARM,,,,,,,,,,,,,,,,,,,,,1516,,,Civic,,,,,1,1
SHEPARD STREET,,,,,,,,,,,,,,,,,,,,,20855,,,Civic,,,,,1,1
FRIENDS OF MAFERA PARK,,,,,,,,,,,,,,,,,,,,,20335,,,Civic,,,,,1,1
CITY PARKS ALLIANCE,,,,,,,,,,,,,,,,,,,,,20191,,,Civic,,,,,2,2
PRESERVING EAST NY,,,,"Our advocacy work is centralized in the Brooklyn neighborhood of East New York.  We are currently focusing our efforts  within the rezoning area bounded by Sheffield Avenue to the West, Fulton Street to the North, Euclid and Lincoln Avenues to the East",Other,Yes,Preserving East New York (PENY) is a community organization which emerged as an initiative to protect and preserve the buildings and places that are of grand value to East New York's history and identity by proposing to create Historic Districts and desi,,Brooklyn,peny.bk@gmail.com,Preserving East New York,347-615-6240,NY,45 Clermont Avenue #6M,,3,Group without 501(c)(3) or 501(c)(4) status,http://preservingeny.org,11205,80-100%,106412,,,Civic,Green buildings,CONSERVE,1,2015,0,0
NEW YORK SOLAR ENERGY SOCIETY,,,,STEM Harlem Armory Super Saturday,Education,,The New York Solar Energy Society raises money to educate children and families about energy efficiency and renewable energy.,,Bronx,wyldon@nyses.org,New York Solar Energy Society,917-974-4606,NY,5270 Sycamore Ave,solar254,1,501(c)(3) (or has applied),http://nyses.org,10471,1-19%,31018,,,Civic,"Sustainable energy system (e.g. solar array, windmill)",EDUCATE,2,2007,0,0
DYKES LUMBER,,,,,,,,,,,,,,,,,,,,,20249,,,Business,,,,,1,1
JEWISH FAMILY SERVICES FOOD PANTRY,,,,,,,,,,,,,,,,,,,,,20448,,,Civic,,,,,1,1
CENTER FOR COASTAL STUDIES,,,,,,,,,,,,,,,,,,,,,20159,,,Civic,,,,,1,1
PLANT SPECIALISTS,,,,,,,,,,,,,,,,,,,,,8241,,,Civic,,,,,1,1
VILLAGE OF DOBBS FERRY,,,,,,,,,,,,,,,,,,,,,20999,,,Government,,,,,1,1
JAMAICA BAY GREENWAY COALITION,,,,,,,,,,,,,,,,,,,,,20438,,,Civic,,,,,1,1
FORT HAMILTON,,,,,,,,,,,,,,,,,,,,,20291,,,Civic,,,,,1,1
WOODSTOCK LAND CONSERVANCY INC GAY LEONHARDT,,,,,,,,,,,,,,,,,,,,,222950482,,,Civic,,,,,1,1
TOWN OF POUND RIDGE,,,,,,,,,,,,,,,,,,,,,20943,,,Government,,,,,1,1
ST NICHOLAS DOG RUN,,,,,,,,,,,,,,,,,,,,,20883,,,Civic,,,,,1,1
FRIENDS OF RED HOOK RECREATION CENTER,,,,,,,,,,,,,,,,,,,,,20339,,,Civic,,,,,1,1
FORMULA E,,,,,,,,,,,,,,,,,,,,,20289,,,Civic,,,,,1,1
JUNIPER VALLEY PARK CONSERVANCY,,,,,,,,,,,,,,,,,,,,,20451,,,Civic,,,,,1,1
SAFE SPACE,,,,,,,,,,,,,,,,,,,,,101678,,,Civic,,,,,1,1
ROSE COURT TENANT ASSN,,,,,,,,,,,,,,,,,,,,,5195,,,Civic,,,,,1,1
FRIENDS OF 49TH ST PLAYGROUND,,,,,,,,,,,,,,,,,,,,,103922,,,Civic,,,,,1,1
FRIENDS OF HANCOCK PARK,,,,,,,,,,,,,,,,,,,,,20319,,,Civic,,,,,1,1
FRIENDS OF WINSTON CHURCHILL SQ GARDENS,,,,,,,,,,,,,,,,,,,,,103996,,,Civic,,,,,1,1
NEIGHBORS HELPING NEIGHBORS,,,,We are just starting our program. We have worked in the past with East Bronx Academy for the Future.,,Yes,,,Bronx,mjohnson@eastbronxacademy.org,Neighbors Helping Neighbors,718-861-8641 ext- 1070,NY,1716 Southern Blvd.,,3,Group without 501(c)(3) or 501(c)(4) status,,10460,,4485,,,Civic,Community Garden,EDUCATE,1,,1,1
MANATT PHELPS AND PHILIPS,,,,,,,,,,,,,,,,,,,,,20507,,,Civic,,,,,1,1
NY PRESBYTERIAN- CHALK,,,,Inwood and Washington Heights,Other,Yes,"CHALK (Choosing Healthy and Active Lifestyles for Kids) uses an ecological model to decrease childhood obesity rates in Washington Heights/Inwood and Harlem, neighborhoods of predominately Latino population in which over 45% of elementary aged children a",,New York,,Choosing Healthy and Active Lifestyles for Kids,,NY,"622 W 168th Street, VC-412",,1,501(c)(3) (or has applied),http://nyp.org/CHALK,10032,,103131,,,Civic,,EDUCATE,1,2011,0,0
EL JARDIN DEL PARAISO,,,,,,,,,,,,,,,,,,,,,1158,,,Civic,,,,,4,4
NYS DEC,,,,,,,,,,,,,,,,,,,,,4561,,,Government,,,,,28,28
MONTCLAIR COMMUNITY WILDLIFE HABITAT PROJECT,,,,,,,,,,,,,,,,,,,,,20545,,,Civic,,,,,1,1
FARMS IN THE HEIGHTS,,,,,,,,,,,,,,,,,,,,,20277,,,Civic,,,,,1,1
PIKE/WAYNE CONSERVATION PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,31099,,,Civic,,,,,1,1
NY FARM BUREAU,,,,,,,,,,,,,,,,,,,,,116079249,,,Civic,,,,,1,1
PARK PLACE BLOCK,,,,,,,,,,,,,,,,,,,,,101496,,,Civic,,,,,1,1
SOHO STRUT,,,,,,,,,,,,,,,,,,,,,20867,,,Civic,,,,,1,1
DAVIDSON AVE COMMUNITY GARDEN,,,,Community Garden in Mid-Bronx  between West.Fordam Rd and west of Jerome Ave.,Environment,Yes,"To provide a safe green respite in the middle of dense urban population, in which all visitors have the opportunity to explore, learn, teach or just decompress for the surrounding urban environment.",,Bronx,cheap42@hotmail.com,Davidson Ave. Community Garden,N/A,NY,2387 Davidson Ave.,N/A,3,Group without 501(c)(3) or 501(c)(4) status,,10468,60-79%,2987,,,Civic,Community Garden,MANAGE,1,1998,0,0
ALLIANCE FOR WATERSHED EDUCATION OF THE DELAWARE RIVER,,,,,,,,,,,,,,,,,,,,,20023,,,Civic,,,,,2,2
NYS OFFICE OF ASSEMBLY- CATHERINE NOLAN,,,,,,,,,,,,,,,,,,,,,20692,,,Government,,,,,1,1
137TH ST BEAUTIFICATION PROJECT,,,,,,,,,,,,,,,,,,,,,102155,,,Civic,,,,,1,1
BLOCK ASSOC 122,,,,,,,,,,,,,,,,,,,,,8609,,,Civic,,,,,1,1
GOWANUS ALLIANCE,,,,,,,,,,,,,,,,,,,,,100830,,,Civic,,,,,3,3
FRIENDS OF MACDONALD PARK,,,,"MacDonald Park - Queens Blvd between Yellowstone Blvd and 70 Road
Continental/71  Av  between Queens Blvd and Burns St
Austin St between Ascan Av and 70 Av",Environment,Yes,,,Forest Hills,smelnick718@gmail.com,Friends of MacDonald Park,917-558-380,NY,"112-20 72 Drive, A29",,3,Group without 501(c)(3) or 501(c)(4) status,,11375,80-100%,20333,,,Civic,Park,MANAGE,1,2013,1,1
NATURE CONSERVANCY- NYC,,,,"Marine Park (w. side, Coastal Forest); 
Jamaica Bay Wildlife Refuge (N. and S. Gardens); 
Lower New York Harbor (Oyster restoration at about 10; we can send coordinates);
Warwick Street Greenery Glow Community  Garden in East NY, Brooklyn;
Gowanus Canal",Environment,Yes,The mission of The Nature Conservancy is to conserve the lands and waters on which all life depends.,,New York,nycprogram@tnc.org,The Nature Conservancy - New York City Program,,NY,"322 Eighth Ave, 16th Floor",@nature_ny,1,501(c)(3) (or has applied),http://nature.org/newyorkcity,10001,60-79%,1527,,,Civic,None of the above,PARTICIPATE/PARTNER/SUPPORT,1,2013,0,0
KNICKERBOCKER FIGURE SKATING CLUB,,,,,,,,,,,,,,,,,,,,,104746,,,Civic,,,,,1,1
LIONS CLUB- LITTLE NECK DOUGLASTON,,,,"East of Cross Island Parkway,
North of Grand Central Parkway
West of the NYC City Line

We participate throughout the city",Youth,Yes,"To empower volunteers to serve their communities, meet humanitarian needs, encourage peace and promote international understanding through Lions clubs.",,LITTLE NECK,NANCY49611@AOL.COM,Little Neck Douglaston Lions Club,917-312-3043,NY,P.O. Box 630 330,,1,501(c)(3) (or has applied),,11363-0330,40-59%,100563,,,Civic,Freshwater Wetland,PARTICIPATE/PARTNER/SUPPORT,1,,0,0
YOUNG NATURISTS AMERICA,,,,,,,,,,,,,,,,,,,,,21044,,,Civic,,,,,1,1
LOWER EAST SIDE LOCAL HEROES,,,,,,,,,,,,,,,,,,,,,20493,,,Civic,,,,,1,1
LAGUARDIA CORNER GARDENS,,,,Bleecker Street & LaGuardia Place NYC,Environment,Yes,,,New York,LaGuardiacornergardens@gmail.com,LaGuardia Corner Gardens,,NY,"P.O. Box 79, Prince Street Station",,1,501(c)(3) (or has applied),http://LaGuardiacornergarden.org,10012,80-100%,1301,,,Civic,Community Garden,MANAGE,1,1979,1,1
GREEN OASIS/GILBERT'S SCULPTURE GDN,,,,,,,,,,,,,,,,,,,,,1238,,,Civic,,,,,1,1
AMERICAN SOCIETY OF LANDSCAPE ARCHITECTS,,,,,,,,,,,,,,,,,,,,,102414,,,Civic,,,,,1,1
MOSHOLU MONTEFIORE COMMUNITY CENTER,,,,,,,,,,,,,,,,,,,,,4397,,,Civic,,,,,1,1
PS Q 264,,,,,,,,,,,,,,,,,,,,,20768,,,School,,,,,1,1
AMPLE HILLS CREAMERY,,,,,,,,,,,,,,,,,,,,,20038,,,Business,,,,,1,1
SADONTE FOUNDATION,,,,,,,,,,,,,,,,,,,,,20837,,,Civic,,,,,1,1
UNITED NEIGHBORHOOD HOUSES,,,,,,,,,,,,,,,,,,,,,5675,,,Civic,,,,,1,1
